Unnamed: 0,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,sadness,feelings,topic,age
0,mukesh,mohabbat bhi jhoothi,1950,pop,hold time feel break feel untrue convince speak voice tear try hold hurt try forgive okay play break string feel heart want feel tell real truth hurt lie worse anymore little turn dust play house ruin run leave save like chase train late late tear try hold hurt try forgive okay play break string feel heart want feel tell real truth hurt lie worse anymore little run leave save like chase train know late late play break string feel heart want feel tell real truth hurt lie worse anymore little know little hold time feel,95,0.000598086,0.063746128,0.000598086,0.000598086,0.000598086,0.048857015,0.017104339,0.2637508813174463,0.000598086,0.039288366,0.000598086,0.000598086,0.000598086,0.380298895,0.1171754514230962,sadness,1
4,frankie laine,i believe,1950,pop,believe drop rain fall grow believe darkest night candle glow believe go astray come believe believe believe smallest prayer hear believe great hear word time hear bear baby touch leaf believe believe believe lord heaven guide sin hide believe calvary die pierce believe death rise meet heaven loud amen know believe,51,0.035537134,0.096776742,0.4434351738186404,0.001283697,0.001283697,0.027007477,0.001283697,0.001283697,0.001283697,0.1180338411682359,0.001283697,0.2126810671851602,0.051124199,0.001283697,0.001283697,world/life,1
6,johnnie ray,cry,1950,pop,sweetheart send letter goodbye secret feel better wake dream think real false emotions feel heartaches hang long blue get bluer song remember cloudy hair,24,0.002770083,0.002770083,0.002770083,0.002770083,0.002770083,0.002770083,0.1585644656581314,0.2506679099206141,0.002770083,0.3237940521915833,0.002770083,0.002770083,0.002770083,0.002770083,0.225422323,music,1
10,pérez prado,patricia,1950,pop,kiss lips want stroll charm mambo chacha meringue heaven arm japan brag geisha care long uncle eye starry sort gleam like million dollar dream come true everybody wish steal heart away guess try eye starry sort gleam like million dollar dream come true kiss lips want stroll charm japan brag geisha care long uncle,54,0.048249124,0.001547988,0.001547988,0.001547988,0.021500355,0.001547988,0.4115358246343062,0.001547988,0.001547988,0.001547988,0.1292497848687442,0.001547988,0.001547988,0.2258894842203273,0.001547988,romantic,1
12,giorgos papadopoulos,apopse eida oneiro,1950,pop,till darling till matter know till dream live apart know hearts till world free oceans cross mountains climb know gain loss pray loss time till dream till memory till hold till oceans cross mountains climb know gain loss pray loss time till dream till memory till hold till,48,0.001349528,0.001349528,0.4177722727138843,0.001349528,0.001349528,0.001349528,0.4634300948612802,0.001349528,0.001349528,0.001349528,0.001349528,0.001349528,0.029754565,0.068800152,0.001349528,romantic,1
14,perry como,round and round (with mitchell ayres and his orchestra & the ray charles singers),1950,pop,convoy light dead ahead merchantmen trump diesels hammer oily kill grind knuckle white eye alight slam hatch deadly night cunning chicken lair hound hell devil care run silent run deep final prayer warriors secret sleep merchantman nightmare silent death lie wait run silent run deep sink final sleep chill hearts fight open ocean wonder lethal silver fish boat shiver cast millions play killer victim fool obey order rehearse lifeboat shatter hull tear black smell burn jones eye watch crosswire tube ready medal chest weeks dead like rest run silent run deep final prayer warriors secret sleep merchantman nightmare,98,0.001052632,0.4206846660518329,0.001052632,0.074078284,0.001052632,0.001052632,0.001052632,0.001052632,0.001052632,0.001052632,0.001052632,0.1721731259860281,0.001052632,0.1282918261528421,0.001052632,violence,1
15,freestyle,opm medley: when i met you,1950,pop,piece mindin world knowin life come bring give world know give reason feelin give mean life go exist begin touch hair look eye know know good sure endure light world care away ache give reason feelin give mean life go exist begin bakit ganyan bakit ganyan ibig lagi kang pagmasdan umula umaraw hindi pagsasawaan iyong katangian damdamin ibangiba kapag kapiling sinta bakit ganyan damdamin maintindihan kailangan pagibig dahil nagmamahal magmula nang kita makilala bakit ganyan kung minsan nauutal kaba kapag kausap ngunit lumalakas loob kung ikaw nakatawa bakit ganyan damdamin maintindihan kailangan pagibig dahil nagmamahal magmula nang kita makilala think inlove feel restless inside want want thoughts night mind think think think single single night single moment life want spend think think think tell care tell tell feel word explain happen fast exactly feel right know long madness cause think think think single single night single moment life want spend think think think tell care tell tell feel medley give reason feelin give mean life go exist begin give reason feelin give mean life go exist begin think inlove,179,0.000482859,0.000482859,0.3718167049375792,0.040711966,0.000482859,0.000482859,0.000482859,0.3847028203575036,0.000482859,0.000482859,0.000482859,0.044354671,0.000482859,0.000482859,0.1231498770060476,world/life,1
17,johnny mathis,it's not for me to say,1950,pop,care moment hold fast press lips dream heaven speak share glow grow pass meet break speak share glow grow pass meet,21,0.002506266,0.002506266,0.336056482,0.002506266,0.002506266,0.002506266,0.1768608110005607,0.002506266,0.002506266,0.002506266,0.002506266,0.3868866188357865,0.002506266,0.062602102,0.002506266,world/life,1
20,stélios kazantzídis,klapse me mana klapse me,1950,pop,lonely night surround power read mind hour night kiss lips hold tight unending real begin lonely night surround know certain flirtin night kiss lips hold tight baby maybe baby maybe,30,0.083537203,0.002024292,0.002024292,0.2482727910418802,0.002024292,0.002024291,0.4018011071559509,0.1677832979623083,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.031599678,romantic,1
23,stélios kazantzídis,finito la mouzika,1950,pop,tear heart seat stay awhile tear heart game steal glimpse eye stare awhile steal glimpse eye game half awhile half game word mouth swallow speak awhile word mouth game offer lose say mean right look size right tear heart seat stay awhile tear heart game steal glimpse eye stare awhile steal glimpse eye game offer lose say mean right look size,61,0.001119821,0.1025478341787261,0.001119821,0.053943789,0.001119821,0.001119821,0.001119821,0.091571944,0.001119821,0.001119821,0.10575159,0.001119821,0.001119821,0.63050735,0.001119821,sadness,1
